Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,GeoLocation
AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),137,1.6,1.2,2,"2,610",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"6,056",72.4,71,73.7,482,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"2,583",27.6,26.3,29,483,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,196",49.6,46.9,52.4,"3,454",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,958,50.4,47.6,53.1,"3,455",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,490",21.1,19.8,22.5,"2,702",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"6,878",78.9,77.5,80.2,"2,703",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Every day,227,3.5,2.9,4.2,"2,840",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Some days,134,2.3,1.7,2.8,"2,841",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"8,043",94.2,93.4,95,"2,842",%,"(32.84057112200048, -86.63186076199969)"
AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,"4,233",97.6,97,98.2,618,%,"(64.84507995700051, -147.72205903599973)"
AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"1,048",14.8,13.6,15.9,"2,748",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,442,6.4,5.5,7.2,"2,749",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"2,271",24.6,23.3,25.8,"2,750",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"4,607",54.3,52.8,55.9,"2,751",%,"(32.84057112200048, -86.63186076199969)"
AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,182,3.3,2.6,4,527,%,"(64.84507995700051, -147.72205903599973)"
AL,Alabama,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"2,302",77,74.9,79.1,"3,330",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,609,23,20.9,25.1,"3,331",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,860",75.1,73.3,77,"3,292",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,871,24.9,23,26.8,"3,293",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,271",72.7,70.8,74.5,"3,252",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,072",27.3,25.5,29.2,"3,253",%,"(32.84057112200048, -86.63186076199969)"
AK,Alaska,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"2,385",56.7,54.6,58.8,"2,901",%,"(64.84507995700051, -147.72205903599973)"
AL,Alabama,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"2,228",78.3,76.2,80.4,"3,368",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,715,21.7,19.7,23.8,"3,369",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,686",83.2,81.1,85.3,"3,412",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,370,16.8,14.7,18.9,"3,413",%,"(32.84057112200048, -86.63186076199969)"
AK,Alaska,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,"1,798",43.3,41.2,45.4,"2,902",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,"4,183",96.7,96,97.4,528,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,697,20.2,18.4,22,"2,947",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"3,437",79.8,78,81.6,"2,948",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,350,8.8,7.6,10,"2,993",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"3,776",91.2,90,92.4,"2,994",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"1,261",21.9,20.4,23.5,889,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"3,091",78.1,76.5,79.6,890,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,142,2.4,1.8,3,617,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,367,8.1,7,9.3,708,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"3,993",91.9,90.7,93,709,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,549,12.4,11.1,13.8,662,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"3,826",87.6,86.2,88.9,663,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,156,2.4,1.9,2.9,573,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,"4,202",97.6,97.1,98.1,574,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,258,4.4,3.6,5.2,843,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,COPD,Ever told you have COPD?,No,"4,111",95.6,94.8,96.4,844,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,717,15.6,14,17.1,935,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,"3,656",84.4,82.9,86,936,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"3,861",90.4,89.3,91.5,"1,029",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,403,7.4,6.4,8.4,"1,027",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",42,0.7,0.5,1,"1,028",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",77,1.5,1,1.9,"1,030",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,117,2.1,1.5,2.8,981,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,"4,263",97.9,97.2,98.5,982,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,360,5.3,4.6,6,798,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,"4,017",94.7,94,95.5,799,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,219,3.2,2.7,3.8,754,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,"4,160",96.8,96.2,97.3,755,%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,190,7.8,6.4,9.2,"3,489",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"2,184",92.2,90.8,93.6,"3,490",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,89,4.6,3.4,5.8,"3,529",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"2,017",95.4,94.2,96.6,"3,530",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"1,604",64.3,61.5,67,"3,568",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,793,35.7,33,38.5,"3,569",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"1,270",60,57,63,"3,608",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,782,40,37,43,"3,609",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Age,What is your age?,18-24 years,245,14.1,12.3,15.9,"1,341",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Age,What is your age?,25-34 years,557,20,18.2,21.7,"1,342",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Age,What is your age?,35-44 years,643,16.8,15.2,18.5,"1,343",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Age,What is your age?,45-54 years,886,18.2,16.8,19.7,"1,344",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Age,What is your age?,55-64 years,"1,069",17.7,16.2,19.1,"1,345",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Age,What is your age?,65+ years,988,13.3,12.2,14.3,"1,346",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,164,2.7,2.2,3.3,"2,375",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"4,093",97.3,96.8,97.8,"2,376",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,295,7.5,6.3,8.7,"2,421",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"3,951",92.5,91.3,93.7,"2,422",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,224,4.6,3.7,5.6,"2,559",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,Do you have difficulty doing errands alone?,No,"4,028",95.4,94.4,96.3,"2,560",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,151,2.8,2.2,3.5,"2,513",%,"(64.84507995700051, -147.72205903599973)"
